REGION III,07DBP0002N,PROFR. ELISEO MELLANES CASTELLANOS,092,TECPATAN,0001,TECPATAN,TERCERA SUR ORIENTE NUM. 15,6533073,,,000,8,BACHILLERATO,BACHILLERATO GENERAL DE 3 A„OS FEDERAL
REGION III,07DBP0002N,PROFR. ELISEO MELLANES CASTELLANOS,092,TECPATAN,0001,TECPATAN,TERCERA SUR ORIENTE NUM. 15,6533073,,,000,8,BACHILLERATO,BACHILLERATO GENERAL DE 3 A„OS FEDERAL
REGION X,07DBT0006W,CENTRO DE CAPACITACION TECNICA INDUSTRIAL 86,089,TAPACHULA,0001,TAPACHULA DE CORDOVA Y ORDO„EZ,CALLE MIGUEL HIDALGO Y COSTILLA NUM. 17,2625733,,,005,6,CAPACITACION PARA EL TRABAJO,FORMACION PARA EL TRABAJO CECATI FEDERAL
REGION V,07DBT0009T,CENTRO DE CAPACITACION TECNICA INDUSTRIAL 133,078,SAN CRISTOBAL DE LAS CASAS,0001,SAN CRISTOBAL DE LAS CASAS,AVENIDA OLIMPO ESQUINA HERCULES SIN NUM.,7678018,,,004,6,CAPACITACION PARA EL TRABAJO,FORMACION PARA EL TRABAJO CECATI FEDERAL
REGION I,07DBT0010I,CENTRO DE CAPACITACION TECNICA INDUSTRIAL 112,101,TUXTLA GUTIERREZ,0001,TUXTLA GUTIERREZ,"PROLONGACION CALLE CENTRAL SUR, ESQUINA AVENIDA NIZA SIN NUM.",6130069,,,000,6,CAPACITACION PARA EL TRABAJO,FORMACION PARA EL TRABAJO CECATI FEDERAL
REGION V,07DCC0003H,BELISARIO DOMINGUEZ PALENCIA,064,OXCHUC,0023,NAVIL TAPJA,NAVIL,0,702,07,002,3,PREESCOLAR,PREESCOLAR INDIGENA FEDERAL TRANSFERIDO
REGION XII,07DCC0004G,JUAN ESCUTIA,059,OCOSINGO,0767,CINTALAPA,CINTALAPA,0,251,12,002,3,PREESCOLAR,PREESCOLAR INDIGENA FEDERAL TRANSFERIDO
REGION XII,07DCC0006E,MIGUEL HIDALGO Y COSTILLA,059,OCOSINGO,0512,EL JARDIN,EL JARDIN,0,252,12,002,3,PREESCOLAR,PREESCOLAR INDIGENA FEDERAL TRANSFERIDO
REGION XII,07DCC0007D,JAIME NUNO,059,OCOSINGO,1799,CRISTOBAL COLON,CRISTOBAL COLON,0,253,12,002,3,PREESCOLAR,PREESCOLAR INDIGENA FEDERAL TRANSFERIDO
REGION XIV,07DCC0009B,DR. BELISARIO DOMINGUEZ PALENCIA,096,TILA,0073,USIPA,USIPA,0,084,09,002,3,PREESCOLAR,PREESCOLAR INDIGENA FEDERAL TRANSFERIDO
REGION V,07DCC0010R,XICOTENCATL,038,HUIXTAN,0014,LA LIBERTAD,LA LIBERTAD,0,015,10,004,3,PREESCOLAR,PREESCOLAR INDIGENA FEDERAL TRANSFERIDO
REGION XIV,07DCC0011Q,PABLO NERUDA,031,CHILON,0120,MEQUEJA,MEQUEJA,0,035,07,002,3,PREESCOLAR,PREESCOLAR INDIGENA FEDERAL TRANSFERIDO
