REGION III,07DBP0002N,PROFR. ELISEO MELLANES CASTELLANOS,92,TECPATAN,1,TECPATAN,TERCERA SUR ORIENTE NUM. 15,6533073,,,0,8,BACHILLERATO,BACHILLERATO GENERAL DE 3 AÑOS FEDERAL,,
REGION III,07DBP0002N,PROFR. ELISEO MELLANES CASTELLANOS,92,TECPATAN,1,TECPATAN,TERCERA SUR ORIENTE NUM. 15,6533073,,,0,8,BACHILLERATO,BACHILLERATO GENERAL DE 3 AÑOS FEDERAL,,
REGION X,07DBT0006W,CENTRO DE CAPACITACION TECNICA INDUSTRIAL 86,89,TAPACHULA,1,TAPACHULA DE CORDOVA Y ORDOÑEZ,CALLE MIGUEL HIDALGO Y COSTILLA NUM. 17,2625733,,,5,6,CAPACITACION PARA EL TRABAJO,FORMACION PARA EL TRABAJO CECATI FEDERAL,,
REGION V,07DBT0009T,CENTRO DE CAPACITACION TECNICA INDUSTRIAL 133,78,SAN CRISTOBAL DE LAS CASAS,1,SAN CRISTOBAL DE LAS CASAS,AVENIDA OLIMPO ESQUINA HERCULES SIN NUM.,7678018,,,4,6,CAPACITACION PARA EL TRABAJO,FORMACION PARA EL TRABAJO CECATI FEDERAL,,
REGION I,07DBT0010I,CENTRO DE CAPACITACION TECNICA INDUSTRIAL 112,101,TUXTLA GUTIERREZ,1,TUXTLA GUTIERREZ,PROLONGACION CALLE CENTRAL SUR, ESQUINA AVENIDA NIZA SIN NUM.,6130069,,,0,6,CAPACITACION PARA EL TRABAJO,FORMACION PARA EL TRABAJO CECATI FEDERAL,
REGION V,07DCC0003H,BELISARIO DOMINGUEZ PALENCIA,64,OXCHUC,23,NAVIL TAPJA,NAVIL,0,702,7,2,3,PREESCOLAR,PREESCOLAR INDIGENA FEDERAL TRANSFERIDO,,
REGION XII,07DCC0004G,JUAN ESCUTIA,59,OCOSINGO,767,CINTALAPA,CINTALAPA,0,251,12,2,3,PREESCOLAR,PREESCOLAR INDIGENA FEDERAL TRANSFERIDO,,
REGION XII,07DCC0006E,MIGUEL HIDALGO Y COSTILLA,59,OCOSINGO,512,EL JARDIN,EL JARDIN,0,252,12,2,3,PREESCOLAR,PREESCOLAR INDIGENA FEDERAL TRANSFERIDO,,
REGION XII,07DCC0007D,JAIME NUNO,59,OCOSINGO,1799,CRISTOBAL COLON,CRISTOBAL COLON,0,253,12,2,3,PREESCOLAR,PREESCOLAR INDIGENA FEDERAL TRANSFERIDO,,
REGION XIV,07DCC0009B,DR. BELISARIO DOMINGUEZ PALENCIA,96,TILA,73,USIPA,USIPA,0,84,9,2,3,PREESCOLAR,PREESCOLAR INDIGENA FEDERAL TRANSFERIDO,,
REGION V,07DCC0010R,XICOTENCATL,38,HUIXTAN,14,LA LIBERTAD,LA LIBERTAD,0,15,10,4,3,PREESCOLAR,PREESCOLAR INDIGENA FEDERAL TRANSFERIDO,,
REGION XIV,07DCC0011Q,PABLO NERUDA,31,CHILON,120,MEQUEJA,MEQUEJA,0,35,7,2,3,PREESCOLAR,PREESCOLAR INDIGENA FEDERAL TRANSFERIDO,,
REGION XII,07DCC0013O,LIC. BENITO JUAREZ GARCIA,59,OCOSINGO,11,LA ARENA,LA ARENA,0,253,12,2,3,PREESCOLAR,PREESCOLAR INDIGENA FEDERAL TRANSFERIDO,,
REGION XII,07DCC0015M,JOSE SANTOS DEGOLLADO,59,OCOSINGO,102,LACANJA TZELTAL,LACANJA TZELTAL,0,251,12,2,3,PREESCOLAR,PREESCOLAR INDIGENA FEDERAL TRANSFERIDO,,
REGION V,07DCC0016L,CUITLAHUAC,64,OXCHUC,22,MESBILJA,MESBILJA,0,707,7,2,3,PREESCOLAR,PREESCOLAR INDIGENA FEDERAL TRANSFERIDO,,
REGION V,07DCC0017K,EL NIÑO ARTILLERO,38,HUIXTAN,25,SAN FERNANDO,SAN FERNANDO,0,8,10,4,3,PREESCOLAR,PREESCOLAR INDIGENA FEDERAL TRANSFERIDO,,
REGION XII,07DCC0018J,VENUSTIANO CARRANZA,59,OCOSINGO,284,NUEVO CANAN,NUEVO CANAN,0,32,17,2,3,PREESCOLAR,PREESCOLAR INDIGENA FEDERAL TRANSFERIDO,,
REGION XII,07DCC0020Y,BERNAL DIAZ DEL CASTILLO,59,OCOSINGO,121,NAZARETH,NAZARETH,0,718,7,2,3,PREESCOLAR,PREESCOLAR INDIGENA FEDERAL TRANSFERIDO,,
REGION XII,07DCC0022W,FRANCISCO GONZALEZ BOCANEGRA,59,OCOSINGO,216,SANTA RITA,SANTA RITA,0,252,12,2,3,PREESCOLAR,PREESCOLAR INDIGENA FEDERAL TRANSFERIDO,,
REGION XIV,07DCC0023V,MARIA MONTESSORI,96,TILA,29,JOCHINTEOL,JOCHINTIOL,0,84,9,2,3,PREESCOLAR,PREESCOLAR INDIGENA FEDERAL TRANSFERIDO,,
REGION XII,07DCC0024U,DR. MARIO PEREZ RIVERA,59,OCOSINGO,642,LAS TACITAS,LAS TACITAS,0,712,7,2,3,PREESCOLAR,PREESCOLAR INDIGENA FEDERAL TRANSFERIDO,,
REGION V,07DCC0025T,LEONA VICARIO,64,OXCHUC,26,PUILJA,PUILJA,0,707,7,2,3,PREESCOLAR,PREESCOLAR INDIGENA FEDERAL TRANSFERIDO,,
REGION V,07DCC0026S,CUAUHTEMOC,38,HUIXTAN,31,SAN PEDRO PEDERNAL,SAN PEDRO PEDERNAL,0,8,10,4,3,PREESCOLAR,PREESCOLAR INDIGENA FEDERAL TRANSFERIDO,,
REGION V,07DCC0027R,IGNACIO ALLENDE,66,PANTELHO,86,SAN JOAQUIN,SAN JOAQUIN,0,21,16,4,3,PREESCOLAR,PREESCOLAR INDIGENA FEDERAL TRANSFERIDO,,
REGION V,07DCC0029P,JOSE MARIA MORELOS Y PAVON,24,CHANAL,1,CHANAL,CHANAL CABECERA MUNICIPAL,0,7,10,4,3,PREESCOLAR,PREESCOLAR INDIGENA FEDERAL TRANSFERIDO,,
REGION V,07DCC0030E,JAIME NUNO,24,CHANAL,1,CHANAL,CHANAL,0,7,10,4,3,PREESCOLAR,PREESCOLAR INDIGENA FEDERAL TRANSFERIDO,,
REGION XII,07DCC0032C,VENUSTIANO CARRANZA,59,OCOSINGO,161,SAN ANTONIO LA SOMBRA,SAN ANTONIO LA SOMBRA,0,252,12,2,3,PREESCOLAR,PREESCOLAR INDIGENA FEDERAL TRANSFERIDO,,
